utterance	labels
  Just trying to get comfortable. I can't sleep in my underwear.  I've been thinking. Y'know, about how I'm always seeing girls on top of girls...  Y'know what I mean, about how I'm always going out with all these women. And I always figured, when the right one comes along, I'd be able to be a stand-up guy and go the distance, y'know? Now I'm looking at my dad, thinking...  No.	1
  Oh, it's my new beeper.  No, it's for when Carol goes into labor. She can get me wherever I am. I mean, all she has to do is to dial 55-JIMBO.	0
  Oh my goodness! You haven't heard!  Joanna passed away last night.  Well, she was leaving work and she was hit by a cab.  I know!  I didn't realize that she was so close.  No. Nothing. Imagine, if she had just stepped off that curb a few seconds later.	1
  So, I hear, you hate me!  A little birdie told me something about you wanting to rip your arm off and throw it at me.  All right, fine, fine, fine, fine, fine, We've got to do something about our little situation here Joey. So, this is my idea you and me spending some quality time together.  For Chandler!	1
  Monica.  Monica bang!	1
  Ma! What're you doing here?  Oww! Big ring!  Hold on, you-you knew?  So then how could you I mean, how could you?!  Ma, I don't mean to be disrespectful, but... what the hell are you talking about?! I mean, what about you?  I'm...happy...for you?	0
  Oh Joey, Melanie called, said she's gonna be late.  Yeah? What does she think of your little science project?  Man's got a point.  Joey... we always know what you mean.  Hey.  You're going to China?  Yeah.  Oh no, she's out having drinks with Carl.  You know, that guy she met at the coffeehouse.	0
  Well uh, I went down there and told him that no one treats my friends like that and that he'd better come up here and apologize. I'll see you later. (Starts to leave)  He said that he wasn't gonna apologize because you guys are living here illegally, so instead what he's gonna do is have you evicted-I'll see you later.  Well he made Rachel cry!	1
  Phoebe, what? Umm...what?!	1
"  Hey.  Thank you!  You really didn't have to. (Opens the box) Wow.  Yeah. No, this is great. Thank you, Chandler. (They hug).  I'll be in in a minute.  Um, thank you for the gift.  No, I... I didn't mean the pen. Thank you for the book.  The Velveteen Rabbit. I kinda have the feeling you had something to do with it.  Well, uh, when Joey gave it to me, he said, ""This is 'cause I know ya like Rabbits, and I know ya like cheese."" Thanks. I love it. And I know how hard it must have been for you to find."	0
  Mom, we've been through this. No, I'm not calling him. I don't care if it is his kid, the guy's a jerk. No, I'm not alone. Joey's here. (pause) What do you mean, Joey who? (covers the phone, to Joey) Joey who?  Joey Tribbiani. Yes, ok. Hold on. (to Joey) She wants to talk to you. Take the phone.  She's not much of a phone person.  Hey, Knick fan, am I interested in your views on fatherhood? Uh, no.  Maybe you should.	1
  Oh! I know how you can get him, take off your bra.  There was a seen in Footloose...  Yeah-yeah, yeah, with that-that uh, plumber girl...  What? Were you like in the movie, or... Anyway, she takes off her bra under her shirt and pulls it out the sleeve. Very sexy, and classy.	0
  Oh, hi!  Hey. Gosh, you look soo familiar.	1
  Hi. You guys have any wrapping paper?  Phebes, it was your birthday, like, months ago.  Well, I have a call in about that.  Actually, this is for Kathy's birthday. It's an early edition of her favorite book.  Okay, but don't touch it, because you fingers have destructive oils.  Oh, it wasn't a big deal. I just went to a couple of bookstores, talked to a couple of dealers... called a couple of the author's grandchildren.  It doesn't say that. Does it?  Okay, all right, I'll just uh, make sure that uh, Joey gets her something really great.	1
  Hey!  Now? Is it okay if I go out with Chip Matthews?  What, that little thing at the prom?  Come on, that was back in high school! How could that still bother you?  Look, you and I went to different high schools...  You went to one where you were popular, and you got to ride off Chip's motorcycle, and wear his letterman jacket. I went to one where I wore a band uniform they had to have specially made.  It was a project for one of the Home Ec classes.	0
  We're really sorry, but um, she did ask us first.	1
  (entering) Their not breaking up. Chandler and Janice. Their not breaking up. He didn't blink or anything.	1
  (entering) Hello.  Thank you! I know, though.  Ohh, well, you're my lucky penny.	0
  ...Ninety-five, ninety-six, ninety-seven. See, I told you! Less than a hundred steps from our place to here.  (to Ross) Hey! Here's the birthday boy! Ross, check it out: hockey tickets, Rangers-Penguins, tonight at the Garden, and we're taking you.  We love you, man. (Kisses Ross)  So?	0
  Well that works out good, because I'm not listening.  Oh, I'm sorry, did my back hurt your knife?  Yes.  Yes. Monica, you don't get it. It's bad enough that she's stolen the guy who might actually be the person that I am supposed to be with, but now, she's actually (starting to cry), but now she's actually stealing you.  I love you too. (They hug.)	1
  [enters] Hey Chandler, here's this morning's projections.  No kidding.	1
  I need more swordfish. (to one of the assistant chefs) Can you get me some more swordfish?  You did a minute ago!  Fine!  Okay! Very funny! Somebody let me out please?! Come on, I'm cold! (She spills something.) And covered in marinara sauce! Come on! Let me out! (the door opens)  That's not funny.  (starting to cry) I'm a good person. And I'm a good chef, and I don't deserve to have marinara sauce all over me! Y'know what, if you want me to quit this bad, then all you have to do is...  You do?  Well if you want a problem? I'll give you a problem!	1
  All right, cut, let's pick again, pick again.  Come on apartment! Come on apartment! (Picks a card.) Oh! I know queen is high!	1
  Hi you guys.  Hey you.  So, uh, how was your day?  Really? Mine too.  OK. [they go to kiss but everyone's watching so Ross just kisses her on the top of her head and leaves]	0
  Do what, do what?  No! Phoebes! Don't you remember why you dumped the guy?  Well, what are you guys doing tomorrow night?	1
  Forget it. Not after your cousin who could belch the alphabet.  (looking out window) Oh, god help us.	1
  (reading a card) Okay, your band is playing at Arnold's, collect three cool points. Which means, I have five, and that means I get Joey's boxers!  (getting up) All right, I'm gonna make more margaritas! (She pours the rest of the pitcher into Ross's glass.)  I'm just making margaritas.  What?!  Oh, come on!  Monica, please?  (pause) He is, isn't he? I don't know, I don't know, I mean maybe it's just being here at the beach together or, I don't know. But it's like something... (she's interrupted by the sound of Bonnie entering)	0
  Ooh, where are you off to, Travelin' Jake?  Oh, oh, OK, so everyone, pretend like I'm telling you a story, OK. And, and it's really funny. So everyone just laugh, now. [Everyone laughs]  I know, I know. [to Rob] Hello.	0
  Oh my God, they took my idea!	0
  Oh please. Every moment is precious. Y'know? Besides, somebody had to ride in that other taxi with the rest of your luggage, and your friends don't really seem to care too much that you're leaving.  On no! No! It's not good-bye, I'm not leaving until you get on that plane.	1
  Cool.  Sorry, sorry.	0
  I don't know.  I don't want to move again!	1
  Well, maybe you could give to somebody else. Ooh, like Ross Geller.  Who cares? He works in a museum!  What is wrong with this freezer?! (She jabs her arm into the freezer and a piece of ice flies into her eye.) Ow! Ow!!  Oh my God, ice just got in my eye!  Oh, y'know what, I can't, it really kills.  No, my eye doctor is Richard! I can't go to him when I don't have a boyfriend!  Like I remember his office number! (Pause) Speed dial 7.  Yes!!	1
  Oh God, here we go. For the first time in my life I'm gonna say 'Hi birthfather'.  Thanks. [gets out of the cab]  [a little dog starts attacking her leg] Hey, hey, no, oh oh.  No no no, doggie please. Oh, I do so wanna love all animals, please no.  Look kibbles, bits. Oh God, alright, get the hell off my leg you yippity piece of crap. [Flings the dog off and jumps in the cab. The dog keeps jumping up to the window.] Ok, alright, we have a problem.	1
  Remembered what?  Oh, it's so pretty. This must have cost him a fortune.	0
  I got the tickets! I got the tickets! Five hours from now, shoop, shoop, shoop.  Ok, I'm gonna get my stuff.	0
  Hey, you guys are still gonna come visit me, right?  Oh no-no, it's uh, it's not what you think. We uh, we used it to, you know, fling water balloons off the roof. Remember that, those junior high kids couldn't even get theirs accross the street.  Naa, you keep it, you need the practice.  So, I guess this is it.	0
  (yelling from onstage) Where are you Vic?	1
  So, um- so how's this, uh, how's this gonna work? Y'know, with us? Y'know, when, like, important decisions have to be made?  Well, uh, uh, I don't know, okay, okay, how about with the, uh, with the baby's name?  Marlon?!  ...As in Mouse?	0
  (entering) Oh my God! What happened?  Well, y'know how I always wanted to go out with Chip Matthews in high school?  Well, tonight, I actually went out with Chip Matthews in high school.  No, it's okay, not only did I get to go out with Chip Matthews, I got to dump Chip Matthews.  I know!	0
  What's the matter?  What, isn't he sober?  Ohhh, OK. [Monica returns to couch next to Fun Bobby.]	0
  I love that movie. (Joey is using it as a pillow)  I'm sorry, it just felt nice.  Hey, I only got one good arm, you know. You should be doing stuff for me. Go get me a sweater.	0
  Gotcha! (laughs)  Sorry!  Okay, okay, you got it!	0
  Hey!  Emily is...incredible. I mean there-there are no words to describe it, I mean the whole weekend was like a dream. (Sees Rachel coming back from the bathroom.) Oh! And you! Rach!  Hey! You were so right!  Uh, what you said, about us being in a place where we could finally be happy for each other.  I mean, I, I-I admit I-I wasn't quite there. Y'know, I mean the thought of you and that-that Josh guy...  Joshua...guy at that club, dancing and having a good time, the thought of it kinda...y'know.  But now! I'm there! I'm totally there! I'm-I'm finally where you are!	0
  (entering) Hey!  (triumphantly) I'm gonna be on TV!!  Yeah! They're putting together this panel to talk about these fossils they just found in Peru and The Discovery Channel's gonna film it!  Thanks. You ready to go?	0
  Ross do you realise this is the first time in my life I'm doing something I actually care about. This is the first time in my life I'm doing something that I'm actually good at. I mean. if you don't get that...  Well neither do I!  (shocked) Oh my God.	1
  (Entering) Hey.  Whoah, ooh, why is the air in here so negative?  Oh no, how?  Which one?  No, which one? The right or left? 'Cause the left one is lucky...	1
  What?  Whoa, whoa, whoa.  Whoa, whoa, whoa, the poem is not about you.	1
  (to Ross) Hi! Remember me?  Ross, I'm gonna go.  I don't know. Could be because I don't feel like standing around all night waiting for some guy who may or may not scream.  Good bye Ross.	1
  Yeah, oh, Princess Leia and the gold bikini, every guy our age loved that.  Um, um. It's huge. Yeah, that's the moment, when-when, you know she stopped being a princess, and became, like, a woman, you know.  Oh, yeah, um-mm. Oh!  No it's just that I got this new pager and I have it on vibrate. See ya!	0
  Um, Pheebs, so, you guys just dont get along?  So, is this just gonna be you and Carol?	0
  [enters with Susan] Hello  Hi honey.  What?  Uhh, we know, he already did it last week.  Actually, he is getting closer on the talking thing. He can't quite say mama yet, but once he said yumen.	1
  I don't know, it looks the same.  Oh yeah!  How'd it go?	1
  ....three years of modern dance with Twila Tharp! Five years with the American Ballet Theater?!  Oh no, no, no, no.  All right, I have to get that, but no-no. (answering phone) Hello? (listens) (happily) Hi! Yeah listen, I'm, I'm in need of a stripper and I was told that you do that. (listens) Let me ask you this, what, what do you do for the extra hundred? (listens) So would I, would I have to provide the grapes?  Okay, we have our stripper. A miss Crystal Chandelier.  To yourself. (finishing) Hey-hey-hey, y'know what that's pretty good.	1
  Hey!  (laughs) Move in with me.  Don't be scared, I-I know it sounds crazy and-and people will say it's too soon, but just-just think, think how great it will be.  I know.  Well, so, you-you'll get a job here! I mean, I'm always hearing about uh, them foreigners coming in here and stealing American jobs; that could be you!  No, I can't. I would, I really would, but my son is here; I can't leave him. Isn't-you don't think there's any way?  What?  No, no, don't. Why don't we?  Get married.  No! No! I'm not! It's-it's-it's perfect! I mean it's better than you just-just moving here, 'cause it's us together forever, and that's-that's what I want.  Yeah, I know, so what? I mean, who's-who's to say? Does that me we-we can't do it? Look, huh, I was with Carol for four years before we got married and I wound up divorced from a pregnant lesbian. I mean, this, this makes sense for us. Come on! I mean, on our first date we ended up spending the whole weekend in Vermont! I mean, last night I got my ear pierced! Me! This feels right. Doesn't it?  Is that-are you saying yes? Is that yes?  Yes! We're getting married?!  Yes!	0
  No, no, you're right, it is a ridiculous name!  Yes it is! From now on, I have no first name.  I have no name.  Okay uh, for now, temporarily, you can call me, Clint.  Okay, so what name am I cool enough to pull off?	1
"  (from the living room) Is it dry in here? (licks his lips)  Well, smack my ass and call me Judy! These are fantastic!  Like 'em? I could eat a hundred of them!  Tartlets. Tartlets. Tartlets. The word has lost all meaning. (he gets up and goes into the kitchen)  You know, I don't know what I'm looking for.  (from kitchen) Ah, cool! Taco shells! (Rachel motions, ""You see!"") You know, these are... they're like a little corn envelope.  (looking in cabinets) Hey! Sugar-O's! (grabs the cereal box)  Macaroni and cheese! We gotta make this!  Oh, OK. (he drops the box on the floor) Oh, sorry. (When she bends down to pick it up he grabs a package of Gummi-bears from the cabinet.)  (childishly) No.  Alright, we'll share.  Well then you can't have any. (she grabs for the package, and it breaks open. Gummi-bears fly everywhere, some into the punch bowl on the table.) Bear overboard! I think he's drowning. (he throws some Sugar-O's into the punch bowl) Hey fellows! Grab on a Sugar-O... save yourself! (Mimicking the bears) ""Help! I'm drowning!                Help!"""	1
  I didn't think you were gay. I do now.  Ahh, I just got out of a big relationship, I'm not looking for any thing serious.  Oh, wait a second! I didn't say I wasn't free!	1
  Hmmm. Oh, no, no, I just thinking about something funny I heard today. Umm, Mark, Mark saying 'I'll see you Saturday.'  Oh, no, no, no, it's-it's not the lecture ah, I mind, umm....  Oh, well...  Well, I'm sorry, but ah, look if you're not working with him anymore, why do you have to still do stuff with him?  Okay, but do you really need another friend? I mean...  Is that funny? Am I supposed to be laughing?	1
  That's what you've been working on for the past two hours?!  (looking out the window) Look look! He's doing it again, the guy with the telescope!  Great, now he's waving back.	1
  Thanks for being born.  Oh, now you can exchange them if you want, ok.	0
  No, we are. I'm sad.  (answering the phone) Yes. (listens) Uh, can't you wait until tomorrow? (listens) All right. (hangs up) Unbelievable!!  No, no, that was my boss. I have to go.  What are you doing?  Why?  Wait. I wanna show you something.  Just a little gag gift somebody gave me. (She's holding a pair of handcuffs) Put your hands together.  (kisses him) I'll be back in ten minutes. (Starts to leave)  Knowing you're here, waiting for me I think it's kinda exciting.  (locking her door) Oh.  Oh great! I'll keep it in my butt with your nose. (She grabs the cookie and walks out.)	1
  Well? Isn't that amazing?  Then don't do that, alright?  (walks over to where Monica is standing)Monica. Whaddya think?  Wh- are you welling up?	1
  Hi.  Wonderful!	1
  Wow, Carol really messed you up!  Yeah, she turned you into this-this-this untrusting, crazy, jealous, sycophant. (They all look at her.) All right, so I don't know what sycophant means, but the rest is right.	1
  (looking at her feet) Wow, you have really pretty feet.  Would you mind spending some time on my siadic area, it's been killing me today.  Yeah.	0
  Oh, nononowaitwaitwaitnono! Uh... we may not know anything about radiators per se, but we do have a certain amount of expertise in the heating and cooling... mileu.  Yes, but these women are very hot, and they need our help! And they're very hot.  Okay, from now on, you don't get to talk to other people.  Marcel?!	0
  Mmmmmm... Oh, Joey, Joey, Joey... I think I blacked out there for a minute!  Well, now we've gotta find something fun for you! (she starts kissing his chest)  (surprised) M-Me again?	0
  (entering) Hey!  (to Phoebe) So are ready for the gym? They've got this new rock climbing wall, we can spot each other.  What?	0
  No, you didn't. Hi, I'm Kathy.  With a K.  Wow! You are really good at this.  I'm sorry, you're right, I apologize, but I should tell you that I'm waiting for a date. (Joey enters) Oh, and there he is now.	0
  Hey, where is everybody?  Just out. Had some lunch, just me, little quality time with me. Thanks for your jacket.  Okay.  You know what probably happened? Someone musta stolen my credit card.  That is an excellent excellent question. That is excellent.  Judy.  Julie.  Jody!  Look, when it started I was just trying to be nice to her because she was my brother's girlfriend. And then, one thing led to another and, before I knew it, we were...shopping.  Honey, wait. We only did it once. It didn't mean anything to me.  Really, Rachel, I was thinking of you the whole time. Look, I'm sorry, all right. I never meant for you to find out!	1
  Wow! I cannot believe Mark asked you out.  What, so what are you gonna tell him?	0
  Ohhh!  Hey, Mon! I'm not doing anything, why don't you fire me?	1
  Hey!  Oh my God, it was the best funeral ever! I mean, everyone loved the food, and guess what? I even got another funeral for tomorrow-the dead-guy-from-today's best friend. I mean, it is like I am the official caterer for that accident!	0
"  Hey!  Ooh-ooh, Pheebs, you want a strong name? How about, The Hulk?  Oh, want a good name, go with Joey. Joey's your pal. Joey's your buddy. ""Where is everybody?"" ""Well, they're hanging out with Joey."""	0
  Yeah, you have homosexual hair.  Oh, that sucks!  Maybe that's 'cause she's not really gone.  Hm, I mean maybe no-one ever really goes. Ever since my mom died, every now and then, I get the feeling that she's like right here, y'know? (She circles her hand around her right shoulder. Chandler, sitting on her right, draws back nervously) Oh! And Debbie, my best friend from junior high- got struck by lightning on a miniature golf course- I always get this really strong Debbie vibe whenever I use one of those little yellow pencils, y'know? ...I miss her.	1
"  (Smiling.) Ohh great!! (Putting the phone to his ear.) Hello. (He begins to escort her down the aisle.)  No, but it's okay. She just came in and gave him a hug, that it.  No.  Ah, I'm-I'm walking down the aisle...Still walking. (Mrs. Waltham takes her place.) I'm about to pass the bridesmaid I hooked up with last night. (Looking at the bridesmaid.) Hey! (Talking to Phoebe.) I told her ""Hey."" And now I'm at the front with Ross. It's Phoebe. (He shows Ross the phone.) He looks pretty mad. Uh...I'd better go."	0
  Hey, do you guys have... [sees Ross, pauses]...hi.  [sees his coat on] Where you goin'?  [dejected] Oh.  Well, what's the other thing, what do I think? [Joey is looking at Rachel, smiling, and gesturing his head towards Ross.]  Really?  Oh, god.  Oh, oh, this is good, this is really good.  Let me get my coat.  Ok, he's goin' to get my coat. He's goin' to get my coat. Oh my god, you guys. I can't believe this. This is unbelievable. [notices Chandler's computer screen] What's that?  What's that? What? I saw my name. What is it?  Well what is it? Let me see. [Ross walks back in, Rachel's coat in hand.]  Ross, Chandler wrote something about me on his computer and he won't let me see.  And I'm in it? Then let me read it.  Come on.  All right, you know what? This isn't funny anymore. There's something about me on that piece of paper and I want to see it.  All right, you know what, that's fine. If you guys want to be children about this, that's fine. I do not need to see it. [Rachel grabs the paper and runs across the room, reading it to herself.]  What is this? Ross, what is this?  Kind of ditzy? Too into her looks? Spoiled?  Just a waitress?	0
"  (taking apart the invitation) Hey, pretty smart! Tissue paper! You're at the wedding, you have to cry, ""Handkerchief?"" ""No-no, I got my invitation.""  Hey!  Don't worry man, I get to bring a guest. We'll show him.  I knew that! (They all look at him) I sooo didn't know that, but you should see your faces.  Heyyy. (They all try and hide their invitations.)"	0
  I know, so do I. Oh Phoebe, I'm so glad you made me do this. OK, lemme se yours.  Phoebe we just saw mine, let me see yours.  You didn't get it?	0
  Hi.  Yeah, uh, Joey said I could use your shower, since, uh, Chandler's in ours?  Oh, I'm Ronni. Ronni Rappelano? The mistress?  Thanks.  Hi.  Great.  Oh, like, uh, five minutes?	1
  Hello, Waltham Interiors.  Who is this?  Where did you get this number?  Well, if you're one of Ross's best friends, why aren't you here?  Oh, am I on the radio?  No, I'm bored with you now. I'm going to cut you off. (She hangs up.)	1
  What?  Oh.  No. You know, sometimes just things doesn't work out.  Ha,ha, ha, oh my life is just so amusing. Could we drop it now?	1
  Ok, everybody, there's food and drinks on the table. Go across the hall.  Right now, Joey and Chandler's, go now.  Just go. [they walk across the hall]	1
  Okay, Pheebs, can I ask? So, hes going out with her. I mean, is it really so terrible?  Oh... Oh, Pheebs.	0
  So um, so what's up, you came to see me yesterday.  Ohh. . .K. How come?  What?  Huuh.  I, I don't, I don't understand, how can you be straight? I mean, you're, you're so smart and funny and you throw such great Academy Award parties.  So how long have you known?  And um, and there's actually a, a woman?  Oh. Well is she, is she the first that you've been with?	0
  I, Emily...  Take thee Ross...  As my lawfully wedded husband, in sickness and in health, until death parts us.	0
  He's just jealous. You'll fit right in; all Londoners wear them!  (looks around) They're all tourists.	0
  Oh! Oh my God!  You saved them! You guys! Oh God, you're the best!	0
  Alright Ross, look. You're feeling a lot of pain right now. You're angry. You're hurting. Can I tell you what the answer is?  Strip joint! C'mon, you're single! Have some hormones!	1
"  It would be nice after hearing 20,000 people chant ""You suck!""  What, look back?  Well let me ask you a question. Am I the Ultimate Fighting Champion?  Well I'm not gonna stop until I'm the Ultimate Fighting Champion.  Let me tell you a story. When I set out to create Moss 865, do you think it just happened overnight? No. There was Moss 1, that burnt down my Dad's garage, there was Moss 2 that would only schedule appointments in January, and 862 others that I learned from, just like I learned from this fight, never to let a guy stand on my neck."	1
  Here you go.  As a joke, this customer at work who has a crush on me gave me a $20,000 tip. His number is on the check, he just did so I'd call him.  That's Bill Clinton.  Oh my God! That's Pete! But why is Bill huggin' Pete?	0
  Phoebe's got another job, right?  Um, we should go too, I got patients at 8 in the moring.  I don't know, I don't have my jammies.	1
  Hey, guys.  Lots of responses.  (reading): OK... Dear Ms. Green... yeah... yeah... yeah... No. (crumpes up letter)	1
  I'm telling you, she said she's looking for a relationship with someone exactly like me.  Well, I added the 'exactly like me' part... But she said she's looking for someone, and someone is gonna be there tonight.	1
  (pointing to the globe) See there it is right there.  Yeah. But Sergei said it took the Germans six weeks to get all the way across it.  Yeah. Except for, y'know when you're on a date and you're getting along really great but the guy's translator keeps getting in the way.	0
  (on speaker phone) I'm really sorry but I may be a little while longer.  A couple of hours, I feel awful.  I can't!!  I'm in my boss's car!  Uh-oh, tunnel. (The phone gets cut off)	1
  Oh my God!  Why don't take care of this one, and should I get pregnant again, I'll hold onto your card, okay?  Three? You guys were worried I wouldn't even have one!  Well, yeah.	1
  Well, my apartment isn't there anymore, because I drank it.  Yeah, I ended up in the storage room, and not alone.  Ow, no 'woo-hooing,' no 'woo-hooing.'	0
  (entering) Chandler?  Well, I've been calling you, but it turns out I had your number wrong. And when I finally got the right one from Information, there was no answer. So I thought I'd just come down here, and make sure you were okay.  Listen uh, maybe we could get together later?  You got it.  G'bye, everybody.	0
  (entering) Okay. You were right. I'm in love with Joey's girlfriend.  I don't know. I can't--I just, I can't get her out of my head. Y'know? I mean, I'm a very bad person. I'm a very, very bad person. I'm a horrible person. (he waits for a reaction, when he doesn't get one) No you're not Chandler! We still love you Chandler!	1
  (coming out of the bathroom) What's twisted?  Ewwwww!! Ew! Ew! Ew!  He's fine!  Chandler?	1
  Yeah we do!  Are you serious?	1
  It depends on who asked.  Oh, Mon, sure.	0
  Hey, look, you're in trouble either way! Okay? If she comes back and sees me locked to this instead of the chair, she's gonna know you were in here. So you might as well just let me go.  It still wouldn't be clean. (Rachel makes an 'Eww, disgusting!' face) All I want is my freedom.  Freedom!	1
  So, did I hear Poconos?  Yeah, that's a big step.	0
  So how you doing today? Did you sleep okay? Talk to Barry? I can't stop smiling.  I know, he's just so, so... Do you remember you and Tony DeMarco?  Well, it's like that. With feelings.  Big time!	1
  And the advances in collating in the past five years, I mean we just got in an X-5000, y'know. The X-5000 makes the X-50 look like a T-71.  (seeing Ross enter) Hey, it's the dinosaur guy. (runs over to Ross) Hi, Ross.  I want you to met some friends of mine. (Introduces him to Chandler and Joey) This guy is my hero, he comes in with some stuff he wants it blown up 400%, we said we don't do that, and he says you gotta. And y'know what, we did it. And now anytime anybody wants 400, we just say 'let's Ross it!'	1
  (entering) Hey! (sees what's on TV) Oh God, is that Baywatch?  So is Joey around?  I uh, don't really have a preference. You?	1
  So, you're like a zillionaire? (Pete smiles and nods)  Y'know what, you should like, you should buy a state and then just name it after yourself.  Yeah, or, or, or, Mississ-Pete.	0
  Hey.  Yeah, we were gonna give fifty, but if you guys gave more, we don't wanna look bad.  And twenty-five it is.  Phoebs, let me ask you something, were, were these, uh, funny brownies?	1
  Here. I need to borrow some moisturizer.  Whaddya think? Today's the big day!  Thank you! (He goes into the bathroom.)	0
  Are you wearing my glasses?  Thank you. Is that one of my cigarettes?	0
  Oh, you must stop shooping.  No, I prefer to keep a safe distance from all this merriment.  Ok, we all laughed when you did it with the stuffing, but that's not funny anymore.	1
  [to Rachel] I'm sorry it didn't work out between you and me, [to Monica] or you and me. Drew was very disappointed.  Goodbye.  Perhaps, uh, the three of us, just could. . .	0
  Yeah!!! Kill 'um!!!  No! Come on! Don't make me go long. Use me. They never cover me.  God, I'm not lame, okay. I can do something. I can throw, would you let me throw, come on this is my game too.  Thank you! Break!  I'm so sorry! Are you okay?  I'm sorry, they were just all coming at me, and I didn't know what to do.	1
  (Jumping up) Yeah?  Why? Why would you wanna... do that? Why?	1
  Outside.  Why not?  And that would be?  Joey, what's going on?  About what?  Oh my God! I love him!  My surprise party!  Oh stop it. Joey already told me.	0
  Well I. . .  [reluctantly] Uh-huh.  Uh-huh.  No. Well, yeah, maybe.  What's 1922?  Yes I do, it's just that Ross is. . .	1
  Thank you. (Examines it) Oh, cool! Free sample of coffee!  Oh. Right. ...Oh great.  Country club newsletter. My mother sends me the engagement notices for 'inspiration.' Oh my God! Oh my God, it's Barry and Mindy!	0
  Her date tipped me ten dollars. (Monica laughs)  Pheebs, what are you doing?  Are you serious?	0
  Oh my god, there's an unattractive nude man playing the cello.  [laughing] You have some life here, sweetie.  I do. You didn't love Barry. And I've never seen you this happy. I look at you and I think, oh, this is what I want.  Well, not just for you.  I'm uh, considering leaving your father.	0
  Fabulous.  Become a drama critic!  By the way, he dumped me tonight after he read my review.  Yep! I sure know how to pick 'em, huh? Y'know I gave up a part on a soap for this!  Really. What?	0
  (entering) Hey!  Umm, yeah, uh-huh, they're implanted.  Well, freaked. 'Cause it turns out that the odds are really sucky. And! This is Frank and Alice's like only shot. Like, they are literally putting all of their eggs in my basket.  All right, I'm gonna go take a pregnancy test, right now.  Well the doctor says it takes a couple days, but my body's always been a little faster than Western medicine.	0
